# This file was produced by bcftools (1.2+htslib-1.2), the command line was:
# 	 bcftools gtcheck  -H test.vcf.gz
# and the working directory was:
# 	 /Users/dancook/coding/git/vcf-toolbox
#
# [1]SM	[2]Average Discordance	[3]Average depth	[4]Average number of sites	[5]Sample	[6]Sample ID
CN	0	95	33.37	ED3011	CX11264
CN	0	85	30.68	ED3011	CX11271
CN	0	72	31.76	ED3011	CX11276
CN	0	114	33.31	ED3011	CX11285
CN	0	101	31.71	ED3011	CX11292
CN	0	66	34.97	ED3011	CX11307
CN	0	100	31.41	ED3011	CX11314
CN	0	76	30.86	ED3011	CX11315
CN	0	59	27.02	ED3011	DL200
CN	0	105	34.04	ED3011	DL226
CN	0	74	33.47	ED3011	DL238
CN	0	133	33.08	ED3011	ED3005
CN	0	25	44.68	ED3012	AB1
CN	0	32	41.62	ED3012	AB4
CN	0	32	42.16	ED3012	CB4851_CGC
CN	0	27	43.85	ED3012	CB4852
CN	0	32	41.22	ED3012	CB4853
CN	0	22	41.86	ED3012	CB4854
CN	0	32	37.19	ED3012	CB4855_UK
CN	0	26	41.12	ED3012	CB4856
CN	0	34	38.62	ED3012	CB4857
CN	0	1	24.00	ED3012	CB4858_UK
CN	0	31	43.29	ED3012	CB4932
CN	0	24	37.21	ED3012	CX11254
CN	0	25	30.36	ED3012	CX11262
CN	0	29	44.00	ED3012	CX11264
CN	0	18	44.72	ED3012	CX11271
CN	0	23	34.74	ED3012	CX11276
CN	0	38	42.34	ED3012	CX11285
CN	0	22	43.95	ED3012	CX11292
CN	0	23	44.87	ED3012	CX11307
CN	0	29	39.03	ED3012	CX11314
CN	0	24	34.75	ED3012	CX11315
CN	0	17	30.06	ED3012	DL200
CN	0	28	45.11	ED3012	DL226
CN	0	29	37.86	ED3012	DL238
CN	0	30	43.20	ED3012	ED3005
CN	0	23	31.39	ED3012	ED3011
CN	0	64	74.56	ED3017	AB1
CN	0	62	91.02	ED3017	AB4
CN	0	14	82.93	ED3017	CB4851_CGC
CN	0	71	92.27	ED3017	CB4852
CN	0	65	90.48	ED3017	CB4853
CN	0	52	54.27	ED3017	CB4854
CN	0	66	43.42	ED3017	CB4855_UK
CN	0	62	89.92	ED3017	CB4856
CN	0	63	54.32	ED3017	CB4857
CN	0	6	35.83	ED3017	CB4858_UK
CN	0	59	81.10	ED3017	CB4932
CN	0	38	38.76	ED3017	CX11254
CN	0	50	30.72	ED3017	CX11262
